,name,created_at,primary_language,closedIssues,totalIssues,pull_requests,pushed_at,updated_at,releases
0,,2014-12-24T17:49:19Z,JavaScript,,,13933,2021-02-25T00:28:33Z,2021-02-24T23:42:56Z,0
1,,2019-03-26T07:31:14Z,Rust,,,1020,2021-01-30T09:13:56Z,2021-02-24T15:32:36Z,0
2,,2013-07-29T03:24:51Z,JavaScript,,,996,2021-02-19T19:40:51Z,2021-02-25T00:17:59Z,208
3,,2013-10-11T06:50:37Z,,,,3418,2021-02-23T15:39:49Z,2021-02-25T00:08:35Z,0
4,,2013-05-24T16:15:54Z,JavaScript,,,7323,2021-02-24T21:14:14Z,2021-02-25T00:07:57Z,94
5,,2016-06-06T02:34:12Z,,,,218,2021-02-21T07:30:44Z,2021-02-25T00:20:38Z,0
6,,2014-07-11T13:42:37Z,,,,522,2021-02-24T20:27:12Z,2021-02-25T00:26:44Z,0
7,,2015-11-07T01:19:20Z,C++,,,11493,2021-02-25T00:26:10Z,2021-02-25T00:26:33Z,129
8,,2017-03-15T13:45:52Z,,,,62,2021-02-19T01:20:52Z,2021-02-25T00:26:52Z,4
9,,2011-07-29T21:19:00Z,JavaScript,,,6651,2021-02-24T23:26:46Z,2021-02-25T00:21:59Z,67
10,,2013-11-16T02:37:24Z,,,,350,2021-02-08T13:38:15Z,2021-02-25T00:13:12Z,0
11,,2009-08-28T18:15:37Z,Shell,,,2398,2021-02-24T22:47:38Z,2021-02-25T00:09:08Z,0
12,,2017-02-26T16:15:28Z,Python,,,187,2021-02-23T03:06:21Z,2021-02-25T00:27:29Z,0
13,,2018-02-13T14:56:24Z,Java,,,375,2021-02-23T08:52:09Z,2021-02-25T00:20:17Z,0
14,,2010-11-08T20:17:14Z,,,,1414,2021-02-22T19:12:28Z,2021-02-25T00:09:51Z,0
15,,2015-03-06T22:54:58Z,Dart,,,18747,2021-02-25T00:23:57Z,2021-02-24T23:40:59Z,0
16,,2015-09-03T20:23:38Z,TypeScript,,,6336,2021-02-25T00:02:51Z,2021-02-25T00:28:01Z,27
17,,2016-03-20T23:49:42Z,Python,,,847,2021-02-22T19:43:51Z,2021-02-25T00:18:12Z,0
18,,2011-09-04T22:48:12Z,C,,,9,2021-02-24T19:36:53Z,2021-02-24T22:35:58Z,0
19,,2012-11-01T23:13:50Z,JavaScript,,,754,2021-02-17T08:08:54Z,2021-02-25T00:20:09Z,0
20,,2016-07-16T09:44:01Z,Python,,,1469,2021-02-24T16:17:29Z,2021-02-24T23:59:08Z,0
21,,2018-03-01T16:05:52Z,Python,,,12,2021-02-15T04:29:29Z,2021-02-24T20:06:20Z,0
22,,2018-05-09T12:03:18Z,,,,83,2021-02-21T23:03:18Z,2021-02-25T00:10:51Z,0
23,,2018-05-07T13:27:00Z,Java,,,382,2021-02-24T14:29:57Z,2021-02-25T00:12:36Z,0
24,,2018-03-24T07:47:04Z,JavaScript,,,198,2021-02-24T08:23:25Z,2021-02-25T00:26:39Z,0
25,,2010-09-27T17:22:42Z,JavaScript,,,435,2021-02-07T19:52:05Z,2021-02-25T00:09:57Z,163
26,,2014-06-27T21:00:06Z,Python,,,523,2021-02-13T16:36:09Z,2021-02-24T21:30:21Z,0
27,,2015-01-09T18:10:16Z,JavaScript,,,616,2021-02-24T20:29:08Z,2021-02-25T00:12:18Z,150
28,,2010-10-31T14:35:07Z,Python,,,1504,2021-02-24T21:29:48Z,2021-02-24T23:58:13Z,329
29,,2013-04-12T01:47:36Z,C++,,,11270,2021-02-25T00:29:17Z,2021-02-25T00:25:56Z,689
30,,2016-07-17T14:55:11Z,JavaScript,,,1853,2021-02-24T07:13:51Z,2021-02-24T23:52:46Z,81
